date,open,close
2010-01-04,56.45,56.5
2010-01-05,56.8,56.5
2010-01-06,56.5,57.55
2010-01-08,57.3,57.75
2010-01-11,57.1,57.9
2010-01-12,57.55,57.6
2010-01-13,57.05,56.75
2010-01-14,56.8,57.45
2010-01-15,57.35,57.8
2010-01-18,57.45,57.5
2010-01-19,57.5,56.75
2010-01-20,56.8,56.4
2010-01-21,56.15,55.95
2010-01-22,55.2,54.4
2010-01-25,53.95,54.2
2010-01-26,54.15,52.95
2010-01-27,52.95,52.9
2010-01-28,53.1,54.05
2010-01-29,52.95,53
2010-02-01,53.15,52.4
2010-02-02,52.95,51.85
2010-02-03,52.1,52.75
2010-02-04,52.75,52.55
2010-02-05,51.25,50.75
2010-02-08,51.05,50.85
2010-02-09,50.85,51.55
2010-02-10,51.95,52.1
2010-02-22,53.05,52.6
2010-02-23,52.6,52.6
2010-02-24,52.15,52.25
2010-02-25,52.25,51.65
2010-02-26,51.65,51.55
2010-03-01,51.5,52.8
2010-03-02,52.75,52.65
2010-03-03,52.7,52.65
2010-03-04,52.75,52.2
2010-03-05,52.85,52.95
2010-03-08,53.3,53.65
2010-03-09,53.7,53.8
2010-03-10,53.85,53.8
2010-03-11,54,53.65
2010-03-12,53.7,53.6
2010-03-15,53.5,52.85
2010-03-16,52.8,53.1
2010-03-17,53.45,54.15
2010-03-18,54.25,54.4
2010-03-19,54.45,54.25
2010-03-22,54,53.7
2010-03-23,53.7,53.35
2010-03-24,53.5,53.5
2010-03-25,53.35,53.5
2010-03-26,53.25,54
2010-03-29,54.15,54.5
2010-03-30,54.5,54.45
2010-03-31,54.35,54.25
2010-04-01,54.25,54.75
2010-04-02,54.75,54.75
2010-04-06,54.9,55.3
2010-04-07,55.35,55.4
2010-04-08,55.4,55.05
2010-04-09,55,55.2
2010-04-12,55.45,55.45
2010-04-13,55.2,54.8
2010-04-14,55,55.2
2010-04-15,55.35,55.55
2010-04-16,55.5,55.2
2010-04-19,54.65,53.65
2010-04-20,53.9,53.85
2010-04-21,54.15,54.55
2010-04-22,54.2,54.45
2010-04-23,54.45,54.75
2010-04-26,55.25,55.9
2010-04-27,55.9,55.85
2010-04-28,54.75,55.25
2010-04-29,55.25,55
2010-04-30,55.4,54.8
2010-05-03,54.5,54.45
2010-05-04,54.75,54.5
2010-05-05,53.4,53
2010-05-06,52.95,51.95
2010-05-07,51.3,51.95
2010-05-10,52.15,52.4
2010-05-11,52.6,52.2
2010-05-12,52.1,52.1
2010-05-13,52.65,53.25
2010-05-14,53.05,53.1
2010-05-17,52.6,51.9
2010-05-18,52.1,52
2010-05-19,51.5,51.45
2010-05-20,51.45,50.8
2010-05-21,50,49.75
2010-05-24,49.9,50.45
2010-05-25,50,49.12
2010-05-26,49.74,49.32
2010-05-27,49.32,49.66
2010-05-28,50.1,49.87
2010-05-31,50,50.1
2010-06-01,50,49.83
2010-06-02,49.52,49.05
2010-06-03,49.8,50.2
2010-06-04,50.2,50.05
2010-06-07,48.85,48.74
2010-06-08,48.7,48.56
2010-06-09,48.5,48.18
2010-06-10,48.18,48.85
2010-06-11,49.69,49.62
2010-06-14,50.2,50.35
2010-06-15,50.35,50.7
2010-06-17,51.1,51.05
2010-06-18,51.05,50.9
2010-06-21,51.5,52
2010-06-22,51.9,51.7
2010-06-23,51.35,51.15
2010-06-24,51.15,51.3
2010-06-25,50.75,50.6
2010-06-28,50.7,50.8
2010-06-29,51,50.5
2010-06-30,49.55,49.55
2010-07-01,49.55,49.19
2010-07-02,49.1,49.49
2010-07-05,49.73,50.5
2010-07-06,50,51.4
2010-07-07,51.35,51.3
2010-07-09,51.9,52.35
2010-07-12,52.4,52.3
2010-07-13,52.4,52.15
2010-07-14,52.9,53.15
2010-07-15,52.95,53.25
2010-07-16,53.15,52.9
2010-07-19,52.25,52.75
2010-07-20,52.75,53.2
2010-07-21,53.2,52.9
2010-07-22,52.9,52.95
2010-07-23,53.1,53.7
2010-07-26,53.7,53.85
2010-07-28,53.6,54.05
2010-07-29,53.95,54.1
2010-07-30,53.9,53.9
2010-08-02,54.35,54.95
2010-08-03,55.05,55.2
2010-08-04,55,55.1
2010-08-05,55.25,55.05
2010-08-06,54.9,55.2
2010-08-09,55.1,55.5
2010-08-10,55.5,55.4
2010-08-11,55,54.7
2010-08-13,54.3,54.85
2010-08-16,54.45,55
2010-08-17,54.85,54.95
2010-08-18,55,54.65
2010-08-19,54.65,54.95
2010-08-20,54.85,54.95
2010-08-23,54.85,55.3
2010-08-24,55,54.95
2010-08-25,54.3,53.95
2010-08-26,53.9,53.6
2010-08-27,53.6,53.85
2010-08-30,54.3,54.1
2010-08-31,53.7,53.3
2010-09-01,53.5,53.7
2010-09-02,54.1,54
2010-09-03,54.2,54.55
2010-09-06,54.95,54.95
2010-09-07,54.95,54.85
2010-09-08,54.75,54.75
2010-09-09,54.95,54.75
2010-09-10,55.15,55.25
2010-09-13,55.55,56.8
2010-09-14,56.8,57
2010-09-15,57,57.25
2010-09-16,57.2,56.65
2010-09-17,56.85,57.3
2010-09-20,57.2,57.25
2010-09-21,57.6,57.35
2010-09-23,57.35,57.35
2010-09-24,57.1,57
2010-09-27,57.5,57.5
2010-09-28,57.15,57.4
2010-09-29,57.6,57.8
2010-09-30,57.7,57.7
2010-10-01,57.9,57.75
2010-10-04,57.85,57.75
2010-10-05,57.5,57.4
2010-10-06,57.9,57.75
2010-10-07,57.85,57.95
2010-10-08,57.85,57.6
2010-10-11,57.6,56.95
2010-10-12,57,56.2
2010-10-13,56.35,56.55
2010-10-14,56.9,57.45
2010-10-15,57.5,57.35
2010-10-18,57.3,56.2
2010-10-20,55.8,56.7
2010-10-21,56.8,56.75
2010-10-22,56.75,57.1
2010-10-25,55.5,56.1
2010-10-26,56.3,56.35
2010-10-27,56.5,56.05
2010-10-28,56.05,56.5
2010-10-29,56.2,56
2010-11-01,56.2,56.8
2010-11-02,56.8,56.8
2010-11-03,56.95,56.7
2010-11-05,57.55,57.65
2010-11-08,57.8,57.55
2010-11-09,57.55,57.7
2010-11-10,57.8,57.65
2010-11-11,57.8,57.5
2010-11-12,57.25,56.35
2010-11-15,56.3,56.15
2010-11-16,56.1,56.75
2010-11-17,56.35,56.5
2010-11-18,56.4,56.6
2010-11-19,56.9,56.65
2010-11-22,56.8,57.35
2010-11-23,57.35,56.9
2010-11-25,56.85,57.1
2010-11-26,57.15,56.8
2010-11-29,57.1,56.9
2010-11-30,57.05,57.1
2010-12-01,57.1,58
2010-12-02,58.5,58.45
2010-12-03,58.6,59
2010-12-06,59,59.15
2010-12-07,59.2,59.1
2010-12-08,59.1,59.1
2010-12-09,59.5,59.7
2010-12-10,59.6,59.3
2010-12-13,59.2,59.45
2010-12-14,59.25,59.3
2010-12-15,59.3,59.6
2010-12-16,59.65,59.7
2010-12-17,59.8,60.2
2010-12-20,60.4,59.9
2010-12-21,59.9,60.05
2010-12-22,60.4,60.05
2010-12-23,60.05,60.45
2010-12-24,60.45,60.2
2010-12-27,60.2,60.45
2010-12-28,60.45,60.35
2010-12-29,60.35,60.5
2010-12-30,60.7,60.8
2010-12-31,60.8,61.4
2011-01-03,61.6,61.45
2011-01-04,61.55,61.3
2011-01-05,61.1,60.3
2011-01-06,60.25,60.2
2011-01-07,60.25,59.65
2011-01-10,59.75,59.85
2011-01-11,59.7,60.85
2011-01-12,61,61.1
2011-01-13,61.25,61.05
2011-01-14,60.95,61
2011-01-17,61.15,60.85
2011-01-18,60.55,61.35
2011-01-19,61.35,62.05
2011-01-20,62,61.65
2011-01-21,61.1,61
2011-01-24,61,60.95
2011-01-25,61.45,61.45
2011-01-26,61.45,62
2011-01-27,62.05,62.45
2011-01-28,62.5,63
2011-02-08,63.05,62.6
2011-02-09,62.5,62
2011-02-10,61.6,60.85
2011-02-11,60.4,58.9
2011-02-14,59.05,59.4
2011-02-15,59.4,59.75
2011-02-16,59.8,59.85
2011-02-17,59.75,59.65
2011-02-18,60,60.65
2011-02-21,60.4,60.65
2011-02-22,60.3,59.85
2011-02-23,59.45,59
2011-02-24,59,59
2011-02-25,59.3,59.5
2011-03-01,59.7,59.95
2011-03-02,59.45,59.45
2011-03-03,59.55,60.2
2011-03-04,60.5,60.65
2011-03-07,60.5,60.2
2011-03-08,60.05,60.25
2011-03-09,60.55,60.2
2011-03-10,60.15,59.5
2011-03-11,59.05,58.85
2011-03-14,58.6,58.8
2011-03-15,58.7,57.5
2011-03-16,58,57.3
2011-03-17,56.8,57.3
2011-03-18,57.7,57.75
2011-03-21,57.9,58.1
2011-03-22,58.5,58.4
2011-03-23,58.4,58.5
2011-03-24,58.85,58.75
2011-03-25,59.05,59.35
2011-03-28,59.25,59.15
2011-03-29,58.9,59.25
2011-03-30,59.4,59.6
2011-03-31,59.5,59.55
2011-04-01,59.6,59.85
2011-04-06,60,61.15
2011-04-07,61.35,61.3
2011-04-08,61.25,61.1
2011-04-11,61.1,61.1
2011-04-12,60.8,60.05
2011-04-13,59.9,60.4
2011-04-15,60.4,59.65
2011-04-18,59.75,59.55
2011-04-19,59.35,59.2
2011-04-20,59.5,60.3
2011-04-21,60.95,61.7
2011-04-22,61.8,61.6
2011-04-25,61.9,61.45
2011-04-26,60.9,61.2
2011-04-27,61.75,62.15
2011-04-28,62.25,62.15
2011-04-29,62,62
2011-05-03,62.2,62.15
2011-05-04,61.6,61.8
2011-05-05,61.4,62.25
2011-05-06,61.9,61.95
2011-05-09,62.1,62.3
2011-05-10,62.3,62.3
2011-05-11,62.5,62.05
2011-05-12,61.7,62.25
2011-05-13,62.25,62.05
2011-05-16,61.95,61.3
2011-05-17,61.2,61.25
2011-05-18,61.2,61.6
2011-05-19,61.6,61.05
2011-05-23,60.8,60.35
2011-05-24,60.3,60.45
2011-05-25,60.1,60.25
2011-05-26,60.35,60.85
2011-05-27,60.65,60.6
2011-05-30,60.4,60.5
2011-05-31,60.8,62
2011-06-01,62,62.35
2011-06-02,62,61.9
2011-06-03,62,62.2
2011-06-07,61.9,62.2
2011-06-08,62.05,62
2011-06-09,61.8,62
2011-06-10,62.15,60.55
2011-06-13,60.25,59.75
2011-06-14,60,60.75
2011-06-15,60.7,60.5
2011-06-16,59.9,59.4
2011-06-17,59.6,59.2
2011-06-20,59.4,58.6
2011-06-21,59,59.05
2011-06-22,59.5,59.2
2011-06-23,58.95,58.65
2011-06-24,58.7,58.2
2011-06-27,57.5,57.8
2011-06-28,58.05,57.65
2011-06-29,58,58.65
2011-06-30,58.8,58.85
2011-07-01,59.2,59.7
2011-07-04,59.9,60.05
2011-07-05,60,59.95
2011-07-06,60,60.6
2011-07-07,60.7,60.35
2011-07-08,60.5,60.05
2011-07-11,59.85,59.65
2011-07-12,59.1,58.7
2011-07-13,58.65,58.7
2011-07-14,59,58.9
2011-07-15,59,59.2
2011-07-18,59.15,59
2011-07-19,58.85,58.9
2011-07-20,59.5,60.45
2011-07-21,60.45,60.6
2011-07-22,60.85,61
2011-07-25,60.5,60.4
2011-07-26,60.5,61.2
2011-07-27,61.2,61.35
2011-07-28,60.8,60.85
2011-07-29,60.75,59.9
2011-08-01,60.5,60.35
2011-08-02,59.9,59.55
2011-08-03,58.85,58.6
2011-08-04,58.6,57.85
2011-08-05,55.7,54.45
2011-08-08,54.3,53.5
2011-08-09,51,53
2011-08-10,53.95,54.1
2011-08-11,53.2,54.1
2011-08-12,54.7,53.55
2011-08-15,54.2,54.6
2011-08-16,54.8,54.35
2011-08-17,54.35,53.95
2011-08-18,53.4,52.95
2011-08-19,51.8,51.1
2011-08-22,51.3,51.5
2011-08-23,52.1,53.3
2011-08-24,53.4,52.6
2011-08-25,53.2,52.35
2011-08-26,52.8,53.05
2011-08-29,53.1,53.8
2011-08-30,54,54.2
2011-08-31,54.1,54.55
2011-09-01,55.05,55.15
2011-09-02,55.15,55.15
2011-09-05,53.95,53.6
2011-09-06,53.3,52.55
2011-09-07,53.35,53.55
2011-09-08,54,53.7
2011-09-09,53.55,54.15
2011-09-13,53.6,52.65
2011-09-14,53.15,51.6
2011-09-15,52.7,52.85
2011-09-16,53.5,54.1
2011-09-19,53.85,53.2
2011-09-20,53.35,53.4
2011-09-21,53.4,53.6
2011-09-22,52.6,52.1
2011-09-23,50.5,50.35
2011-09-26,50.25,49.32
2011-09-27,50.5,51.1
2011-09-29,50.65,51.6
2011-09-30,51.45,51.65
2011-10-03,50.75,50.3
2011-10-04,49.9,50.75
2011-10-05,50.9,50.25
2011-10-06,51.15,51.25
2011-10-07,51.8,51.55
2011-10-11,52.75,53
2011-10-12,52.85,52.85
2011-10-13,53.2,52.8
2011-10-14,52.6,52.45
2011-10-17,53.1,53.1
2011-10-18,52.5,52.55
2011-10-19,52.6,52.35
2011-10-20,52.55,51.75
2011-10-21,51.8,51.95
2011-10-24,52.45,53.6
2011-10-25,53.65,53.6
2011-10-26,51.6,52.15
2011-10-27,52.15,52.25
2011-10-28,53.4,52.4
2011-10-31,52.8,52.2
2011-11-01,52.2,52.55
2011-11-02,51.6,52.4
2011-11-03,52,51.45
2011-11-04,52.2,52.3
2011-11-07,52.3,52.4
2011-11-08,52.4,52.15
2011-11-09,52.5,52.2
2011-11-10,51.25,50.55
2011-11-11,50.65,50.9
2011-11-14,51.75,52.15
2011-11-15,52.05,51.85
2011-11-16,52.15,51.2
2011-11-17,50.9,51.35
2011-11-18,50.7,50.3
2011-11-21,49.9,49.23
2011-11-22,49.23,49.02
2011-11-23,48.8,47.85
2011-11-24,47.8,47.86
2011-11-25,48.24,47.44
2011-11-28,48.08,48.29
2011-11-29,48.75,48.72
2011-11-30,48.5,48.08
2011-12-01,49.6,50.3
2011-12-05,49.82,49.66
2011-12-06,49.5,48.69
2011-12-07,49,49.2
2011-12-08,49.01,48.86
2011-12-09,48,48.24
2011-12-12,48.94,48.8
2011-12-13,48.37,48.55
2011-12-14,48.54,48.59
2011-12-15,48.01,47.5
2011-12-16,47.65,47.7
2011-12-19,47.4,46.74
2011-12-21,48.55,49.28
2011-12-22,49.27,49.16
2011-12-23,49.89,50
2011-12-26,50,49.95
2011-12-27,49.85,49.85
2011-12-28,49.75,49.57
2011-12-29,49.5,49.61
2011-12-30,50,49.81
2012-01-02,49.45,49.06
2012-01-03,49.5,49.7
2012-01-04,49.9,50
2012-01-06,50.1,50
2012-01-09,49.9,49.81
2012-01-10,50.2,50.7
2012-01-11,50.7,50.65
2012-01-12,50.7,50.75
2012-01-13,51.15,50.85
2012-01-16,51.05,50.05
2012-01-17,50.35,50.55
2012-01-18,50.55,50.4
2012-01-30,51.4,51.8
2012-01-31,52,51.95
2012-02-01,52.2,52.3
2012-02-02,52.7,52.9
2012-02-03,52.95,53.05
2012-02-06,53.5,53.2
2012-02-07,53.3,53.3
2012-02-08,53.5,54.45
2012-02-09,54.05,54.4
2012-02-10,54.25,53.95
2012-02-13,54,54.2
2012-02-14,54.05,54
2012-02-15,54.3,54.9
2012-02-16,54.65,54.25
2012-02-17,54.8,54.75
2012-02-20,54.8,54.7
2012-02-21,54.5,54.5
2012-02-22,54.3,54.85
2012-02-23,54.55,54.6
2012-02-24,54.6,54.75
2012-02-29,55.25,56
2012-03-01,55.95,55.9
2012-03-02,56,55.6
2012-03-05,55.3,54.85
2012-03-06,54.9,54.6
2012-03-07,54,54.4
2012-03-08,54.4,54.7
2012-03-09,54.7,54.95
2012-03-12,55,54.35
2012-03-14,56.05,55.9
2012-03-15,55.75,55.65
2012-03-16,55.5,55.4
2012-03-19,55.45,55.25
2012-03-20,55.35,54.85
2012-03-21,54.85,54.85
2012-03-22,54.95,55.6
2012-03-23,55.45,55.45
2012-03-26,55,54.55
2012-03-27,54.8,55.25
2012-03-28,55.45,55.45
2012-03-29,55.2,54.7
2012-03-30,54.5,54.9
2012-04-03,54.85,54.25
2012-04-05,53.45,53.65
2012-04-06,53.6,53.75
2012-04-09,53,53.1
2012-04-10,53.55,53.1
2012-04-11,52.7,53.3
2012-04-12,53.05,53.35
2012-04-13,53.8,53.95
2012-04-16,53.45,53.8
2012-04-17,53.9,52.9
2012-04-18,53.5,53
2012-04-19,53.05,53.05
2012-04-20,52.9,52.35
2012-04-23,52.3,52.3
2012-04-24,52.25,52.4
2012-04-25,52.6,52.7
2012-04-26,52.8,52.3
2012-04-27,52.6,52.2
2012-04-30,52.1,52.05
2012-05-02,52.25,53.35
2012-05-03,53.25,53.1
2012-05-04,52.8,53.2
2012-05-07,52.45,52.05
2012-05-08,52.2,52.05
2012-05-09,51.65,51.7
2012-05-10,51.6,51.7
2012-05-11,51.6,51.15
2012-05-14,51.3,51.2
2012-05-15,50.9,51.2
2012-05-16,51,50.2
2012-05-17,50.25,50.8
2012-05-18,50.05,49.67
2012-05-21,49.95,49.95
2012-05-22,50.35,50.4
2012-05-23,49.9,49.49
2012-05-24,49.55,49.38
2012-05-25,49.45,49.01
2012-05-28,49.01,49.47
2012-05-29,49.6,50.7
2012-05-30,50.35,50.1
2012-05-31,49.55,50.15
2012-06-01,49.85,49.15
2012-06-04,48.2,47.68
2012-06-05,48.42,48.3
2012-06-06,48.4,48.63
2012-06-07,49.1,48.74
2012-06-08,48.57,48
2012-06-12,48.1,48.61
2012-06-13,48.61,48.71
2012-06-14,48.71,48.78
2012-06-15,48.78,49.4
2012-06-18,50.4,50.2
2012-06-19,50,49.91
2012-06-20,50.15,50.45
2012-06-21,50.2,50.15
2012-06-22,49.2,49.56
2012-06-25,49.04,49.2
2012-06-26,49,48.99
2012-06-27,48.88,49.45
2012-06-28,49.7,49.53
2012-06-29,49.48,50.2
2012-07-02,50.5,50.6
2012-07-03,50.8,51.2
2012-07-04,51.45,51.4
2012-07-05,51.45,51.3
2012-07-06,51.45,51
2012-07-09,50.8,50.95
2012-07-10,50.95,50.4
2012-07-11,50.3,50.55
2012-07-12,50.45,49.65
2012-07-13,49.5,49.5
2012-07-16,49.75,49.5
2012-07-17,49.5,49.85
2012-07-18,49.8,49.2
2012-07-19,49.7,50.2
2012-07-20,50.15,50.15
2012-07-23,49.65,49.25
2012-07-24,49.2,49.12
2012-07-25,48.82,48.86
2012-07-26,49.33,48.94
2012-07-27,49.5,49.92
2012-07-30,50,50.25
2012-07-31,50.5,51.1
2012-08-01,50.9,51.2
2012-08-03,50.75,50.9
2012-08-06,51.9,51.55
2012-08-07,51.6,51.6
2012-08-08,51.95,51.75
2012-08-09,52.1,52.85
2012-08-10,52.85,52.8
2012-08-13,53,53
2012-08-14,53.1,53.25
2012-08-16,53.1,53.2
2012-08-17,53.35,52.95
2012-08-20,52.85,52.8
2012-08-21,52.95,53.4
2012-08-22,53.35,53.35
2012-08-23,53.2,53.3
2012-08-24,53,53.1
2012-08-27,53.45,53.2
2012-08-28,52.95,52.5
2012-08-29,52.4,52.7
2012-08-30,52.45,52.55
2012-09-03,52.7,53.15
2012-09-04,53.15,53.05
2012-09-05,52.9,52.35
2012-09-06,52.3,52.15
2012-09-07,53.1,52.95
2012-09-10,52.95,53.35
2012-09-11,53.35,53.3
2012-09-12,53.75,54.05
2012-09-13,54.2,54.15
2012-09-14,54.8,55.5
2012-09-17,55.5,55.6
2012-09-19,55.45,55.65
2012-09-20,55.55,55.25
2012-09-21,55.35,55.45
2012-09-24,55.3,55.5
2012-09-25,55.6,55.3
2012-09-26,54.9,54.9
2012-09-27,54.8,55.1
2012-09-28,55.25,55.15
2012-10-01,55,55
2012-10-02,55.1,55.25
2012-10-03,55.25,55
2012-10-04,55,55.05
2012-10-05,55,55.1
2012-10-09,54.75,54.4
2012-10-11,53.7,53.3
2012-10-12,53.3,53.15
2012-10-15,53.05,53.25
2012-10-16,53.4,53.5
2012-10-17,53.9,53.4
2012-10-18,53.7,53.65
2012-10-19,53.6,53.25
2012-10-22,52.6,52.9
2012-10-23,52.9,52.9
2012-10-24,50.55,51
2012-10-25,50.95,50.5
2012-10-26,50.7,49.91
2012-10-29,49.99,50
2012-10-31,50.7,50.4
2012-11-01,50.1,50.35
2012-11-02,50.7,50.7
2012-11-05,50.55,50.5
2012-11-06,50.65,50.9
2012-11-07,50.9,51.15
2012-11-08,50.6,50.75
2012-11-09,50.35,51.1
2012-11-12,51.3,50.9
2012-11-13,51,50.05
2012-11-14,49.95,50.15
2012-11-15,50,50
2012-11-16,49.95,49.94
2012-11-19,50.3,50.25
